City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Isangel,VU,2022-05-22 23:50:57,-19.55,169.2667,84.31,79,40,2.3,scattered clouds
60,Fairbanks,US,2022-05-22 23:46:21,64.8378,-147.7164,67.96,25,0,16.11,clear sky
61,Bluff,NZ,2022-05-22 23:50:57,-46.6,168.3333,52.07,74,98,30.49,overcast clouds
62,Cabo San Lucas,MX,2022-05-22 23:50:58,22.8909,-109.9124,83.61,67,11,13.44,few clouds
63,Camocim,BR,2022-05-22 23:50:58,-2.9022,-40.8411,76.06,89,46,5.99,scattered clouds
64,Stephenville,US,2022-05-22 23:50:59,32.2207,-98.2023,77.16,47,0,6.91,clear sky
65,Monitos,CO,2022-05-22 23:50:59,8.25,-76.05,79.11,89,80,6.8,broken clouds
66,Chekmagush,RU,2022-05-22 23:51:00,55.1319,54.6556,38.32,78,93,2.53,overcast clouds
67,Avanigadda,IN,2022-05-22 23:51:00,16.0215,80.9181,87.78,55,11,10.02,few clouds
68,La Ronge,CA,2022-05-22 23:51:00,55.1001,-105.2842,66.45,13,75,13.8,broken clouds
69,Sibolga,ID,2022-05-22 23:48:23,1.7427,98.7792,77.43,85,100,2.39,overcast clouds
70,Algeciras,ES,2022-05-22 23:51:01,36.1333,-5.4505,65.88,77,19,14.97,few clouds
71,Yar-Sale,RU,2022-05-22 23:51:01,66.8333,70.8333,34.14,93,99,27.83,overcast clouds
72,Qui Nhon,VN,2022-05-22 23:51:02,13.7667,109.2333,80.04,78,100,6.98,overcast clouds
73,Korem,ET,2022-05-22 23:51:02,12.5058,39.5228,57.97,29,20,1.95,few clouds
74,Cakovec,HR,2022-05-22 23:51:03,46.3844,16.4339,58.01,49,89,0.85,overcast clouds
75,Camalu,MX,2022-05-22 23:48:37,30.85,-116.0667,64.92,61,0,12.64,clear sky
76,Japura,ID,2022-05-22 23:51:03,-0.3167,102.35,75.85,96,86,1.83,overcast clouds
77,Vao,NC,2022-05-22 23:51:04,-22.6667,167.4833,75.11,85,79,14.85,broken clouds
78,George Town,MY,2022-05-22 23:50:11,5.4112,100.3354,80.53,93,20,3.44,few clouds
79,Cayenne,GF,2022-05-22 23:50:45,4.9333,-52.3333,82.09,1,75,1.14,broken clouds
80,Saint-Francois,FR,2022-05-22 23:47:33,46.4154,3.9054,71.04,68,100,8.05,overcast clouds
81,Karratha,AU,2022-05-22 23:51:05,-20.7377,116.8463,77.72,72,99,5.53,light rain
82,Paamiut,GL,2022-05-22 23:51:06,61.994,-49.6678,33.67,89,100,21.56,light snow
83,Hobart,AU,2022-05-22 23:51:06,-42.8794,147.3294,54.27,86,20,11.5,few clouds
84,Bethel,US,2022-05-22 23:51:07,41.3712,-73.414,80.47,78,58,8.5,broken clouds
85,Hof,DE,2022-05-22 23:51:07,50.3167,11.9167,52.45,77,81,3.44,broken clouds
86,Thayetmyo,MM,2022-05-22 23:51:07,19.3167,95.1833,82.08,79,36,8.1,scattered clouds
87,Marzuq,YE,2022-05-22 23:51:08,14.4,46.4667,73.76,17,47,1.03,scattered clouds
88,Zyryanka,RU,2022-05-22 23:51:09,65.75,150.85,55.53,39,98,15.48,overcast clouds
89,Khatanga,RU,2022-05-22 23:46:32,71.9667,102.5,32.4,88,100,8.03,overcast clouds
90,Fort Frances,CA,2022-05-22 23:51:09,48.5999,-93.4003,57.16,39,75,8.05,broken clouds
91,Saint-Philippe,RE,2022-05-22 23:51:10,-21.3585,55.7679,67.59,72,40,9.93,scattered clouds
92,Atambua,ID,2022-05-22 23:52:11,-9.1061,124.8925,79.05,65,13,5.35,few clouds
93,Prince Rupert,CA,2022-05-22 23:51:28,54.3161,-130.3201,53.69,77,0,16.11,clear sky
94,Bredasdorp,ZA,2022-05-22 23:52:11,-34.5322,20.0403,54.86,90,78,4.0,broken clouds
95,Thompson,CA,2022-05-22 23:52:12,55.7435,-97.8558,64.56,20,100,10.36,overcast clouds
96,Carnarvon,AU,2022-05-22 23:52:12,-24.8667,113.6333,70.29,58,31,14.94,scattered clouds
97,Muros,ES,2022-05-22 23:52:12,42.7762,-9.0603,59.68,91,35,2.13,scattered clouds
98,San Prisco,IT,2022-05-22 23:47:41,41.0871,14.2782,66.52,88,0,3.44,clear sky
99,Broome,US,2022-05-22 23:52:13,42.2506,-75.833,59.38,88,100,13.8,overcast clouds
100,Hamilton,US,2022-05-22 23:52:09,39.1834,-84.5333,66.15,66,99,4.0,overcast clouds
101,Nikolskoye,RU,2022-05-22 23:52:14,59.7035,30.7861,45.88,56,30,2.98,scattered clouds
102,Riachao Das Neves,BR,2022-05-22 23:52:14,-11.7461,-44.91,76.64,49,72,0.92,broken clouds
103,Codrington,AU,2022-05-22 23:52:15,-38.2667,141.9667,52.84,65,1,5.06,clear sky
104,Churachandpur,IN,2022-05-22 23:52:15,24.3333,93.6667,65.64,92,27,0.98,scattered clouds
105,Mar Del Plata,AR,2022-05-22 23:52:15,-38.0023,-57.5575,55.94,68,0,5.75,clear sky
106,Cidreira,BR,2022-05-22 23:52:16,-30.1811,-50.2056,59.5,78,99,5.95,overcast clouds
107,Barrow,US,2022-05-22 23:50:02,71.2906,-156.7887,24.82,86,100,10.36,overcast clouds
108,Verkhoyansk,RU,2022-05-22 23:52:16,67.5447,133.385,48.54,65,50,3.83,scattered clouds
109,Kaeo,NZ,2022-05-22 23:52:17,-35.1,173.7833,63.48,61,100,7.45,overcast clouds
110,Sharlyk,RU,2022-05-22 23:52:17,52.9167,54.75,43.38,94,100,10.04,light rain
111,Balaipungut,ID,2022-05-22 23:52:18,1.05,101.2833,76.46,96,99,1.5,overcast clouds
112,Huarmey,PE,2022-05-22 23:52:18,-10.0681,-78.1522,65.39,85,8,7.78,clear sky
113,Tilichiki,RU,2022-05-22 23:52:19,60.4667,166.1,45.97,64,0,3.74,clear sky
114,Kwinana,AU,2022-05-22 23:52:20,-32.25,115.7667,57.49,60,73,26.28,light rain
115,Rocha,UY,2022-05-22 23:51:27,-34.4833,-54.3333,50.67,85,51,5.59,broken clouds
116,Dicabisagan,PH,2022-05-22 23:52:21,17.0818,122.4157,83.1,77,92,5.93,light rain
117,Ribeira Grande,PT,2022-05-22 23:52:21,38.5167,-28.7,64.35,94,100,4.23,light rain
